MFile 0 1 48
MTrk
0 Meta Text "96ppq1,2                              "
0 On ch=1 n=43 v=80
0 On ch=1 n=62 v=88
0 On ch=1 n=59 v=80
0 On ch=1 n=65 v=80
4 On ch=2 n=79 v=116
24 On ch=1 n=62 v=0
24 On ch=1 n=59 v=0
24 On ch=1 n=65 v=0
29 On ch=2 n=78 v=96
33 On ch=2 n=79 v=0
48 On ch=1 n=43 v=0
49 On ch=2 n=79 v=92
49 On ch=2 n=78 v=0
75 On ch=2 n=81 v=100
75 On ch=2 n=79 v=0
91 On ch=2 n=81 v=0
92 On ch=2 n=79 v=106
113 On ch=2 n=79 v=0
192 On ch=1 n=43 v=68
192 On ch=1 n=58 v=88
192 On ch=1 n=61 v=80
192 On ch=1 n=64 v=104
194 On ch=2 n=79 v=116
216 On ch=1 n=58 v=0
216 On ch=1 n=61 v=0
216 On ch=1 n=64 v=0
221 On ch=2 n=78 v=92
223 On ch=2 n=79 v=0
238 On ch=2 n=79 v=104
238 On ch=2 n=78 v=0
240 On ch=1 n=43 v=0
264 On ch=2 n=81 v=100
264 On ch=2 n=79 v=0
283 On ch=2 n=79 v=104
288 On ch=2 n=81 v=0
306 On ch=2 n=79 v=0
383 On ch=2 n=83 v=92
384 On ch=1 n=43 v=68
384 On ch=1 n=62 v=80
384 On ch=1 n=59 v=78
384 On ch=1 n=65 v=80
400 On ch=2 n=83 v=0
402 On ch=2 n=84 v=80
408 On ch=1 n=62 v=0
408 On ch=1 n=59 v=0
408 On ch=1 n=65 v=0
413 On ch=2 n=83 v=91
416 On ch=2 n=84 v=0
428 On ch=2 n=82 v=100
430 On ch=2 n=83 v=0
432 On ch=1 n=43 v=0
445 On ch=2 n=82 v=0
478 On ch=2 n=81 v=84
480 On ch=1 n=43 v=68
480 On ch=1 n=58 v=84
480 On ch=1 n=61 v=80
480 On ch=1 n=64 v=77
494 On ch=2 n=82 v=84
496 On ch=2 n=81 v=0
504 On ch=1 n=58 v=0
504 On ch=1 n=61 v=0
504 On ch=1 n=64 v=0
508 On ch=2 n=82 v=0
510 On ch=2 n=81 v=90
525 On ch=2 n=80 v=84
528 On ch=1 n=43 v=0
529 On ch=2 n=81 v=0
538 On ch=2 n=80 v=0
572 On ch=2 n=79 v=88
576 On ch=1 n=43 v=72
576 On ch=1 n=62 v=90
576 On ch=1 n=59 v=80
576 On ch=1 n=65 v=90
579 On ch=2 n=79 v=0
600 On ch=1 n=62 v=0
600 On ch=1 n=59 v=0
600 On ch=1 n=65 v=0
606 On ch=2 n=67 v=84
616 On ch=2 n=67 v=0
619 On ch=2 n=69 v=70
624 On ch=1 n=43 v=0
625 On ch=2 n=67 v=100
626 On ch=2 n=69 v=0
634 On ch=2 n=66 v=116
638 On ch=2 n=67 v=0
659 On ch=2 n=66 v=0
660 On ch=2 n=67 v=92
677 On ch=2 n=68 v=91
677 On ch=2 n=67 v=0
702 On ch=2 n=68 v=0
704 On ch=2 n=69 v=100
721 On ch=2 n=70 v=80
723 On ch=2 n=69 v=0
739 On ch=2 n=70 v=0
750 On ch=2 n=71 v=100
766 On ch=2 n=71 v=0
768 On ch=1 n=36 v=68
770 On ch=2 n=72 v=104
816 On ch=1 n=60 v=70
816 On ch=1 n=55 v=64
816 On ch=1 n=64 v=76
816 On ch=1 n=36 v=0
818 On ch=2 n=72 v=0
840 On ch=1 n=60 v=0
840 On ch=1 n=55 v=0
840 On ch=1 n=64 v=0
845 On ch=2 n=72 v=91
852 On ch=2 n=72 v=0
863 On ch=2 n=72 v=100
864 On ch=1 n=43 v=70
874 On ch=2 n=72 v=0
911 On ch=2 n=72 v=92
912 On ch=1 n=60 v=72
912 On ch=1 n=55 v=59
912 On ch=1 n=64 v=80
912 On ch=1 n=43 v=0
923 On ch=2 n=72 v=0
936 On ch=1 n=60 v=0
936 On ch=1 n=55 v=0
936 On ch=1 n=64 v=0
960 On ch=1 n=36 v=72
963 On ch=2 n=72 v=92
1008 On ch=1 n=60 v=77
1008 On ch=1 n=55 v=68
1008 On ch=1 n=64 v=79
1008 On ch=1 n=36 v=0
1009 On ch=2 n=72 v=0
1032 On ch=1 n=60 v=0
1032 On ch=1 n=55 v=0
1032 On ch=1 n=64 v=0
1056 On ch=1 n=43 v=70
1057 On ch=2 n=71 v=92
1078 On ch=2 n=71 v=0
1104 On ch=1 n=60 v=80
1104 On ch=1 n=55 v=72
1104 On ch=1 n=64 v=80
1104 On ch=1 n=43 v=0
1106 On ch=2 n=72 v=92
1128 On ch=1 n=60 v=0
1128 On ch=1 n=55 v=0
1128 On ch=1 n=64 v=0
1132 On ch=2 n=72 v=0
1134 On ch=2 n=73 v=91
1147 On ch=2 n=73 v=0
1149 On ch=2 n=74 v=104
1152 On ch=1 n=38 v=72
1200 On ch=1 n=55 v=72
1200 On ch=1 n=59 v=78
1200 On ch=1 n=53 v=72
1200 On ch=1 n=62 v=43
1200 On ch=1 n=38 v=0
1224 On ch=1 n=55 v=0
1224 On ch=1 n=59 v=0
1224 On ch=1 n=53 v=0
1224 On ch=1 n=62 v=0
1248 On ch=1 n=43 v=72
1286 On ch=2 n=74 v=0
1296 On ch=1 n=62 v=78
1296 On ch=1 n=55 v=78
1296 On ch=1 n=53 v=70
1296 On ch=1 n=59 v=72
1296 On ch=1 n=43 v=0
1320 On ch=1 n=62 v=0
1320 On ch=1 n=55 v=0
1320 On ch=1 n=53 v=0
1320 On ch=1 n=59 v=0
1344 On ch=1 n=38 v=64
1370 On ch=2 n=67 v=92
1382 On ch=2 n=69 v=104
1386 On ch=2 n=67 v=0
1392 On ch=1 n=62 v=77
1392 On ch=1 n=55 v=72
1392 On ch=1 n=53 v=62
1392 On ch=1 n=59 v=71
1392 On ch=1 n=38 v=0
1393 On ch=2 n=69 v=0
1395 On ch=2 n=67 v=100
1406 On ch=2 n=66 v=104
1410 On ch=2 n=67 v=0
1416 On ch=1 n=62 v=0
1416 On ch=1 n=55 v=0
1416 On ch=1 n=53 v=0
1416 On ch=1 n=59 v=0
1430 On ch=2 n=66 v=0
1432 On ch=2 n=67 v=102
1440 On ch=1 n=43 v=76
1453 On ch=2 n=77 v=100
1453 On ch=2 n=67 v=0
1478 On ch=2 n=74 v=100
1479 On ch=2 n=77 v=0
1488 On ch=1 n=62 v=78
1488 On ch=1 n=55 v=70
1488 On ch=1 n=59 v=77
1488 On ch=1 n=53 v=61
1488 On ch=1 n=43 v=0
1496 On ch=2 n=71 v=92
1499 On ch=2 n=74 v=0
1512 On ch=1 n=62 v=0
1512 On ch=1 n=55 v=0
1512 On ch=1 n=59 v=0
1512 On ch=1 n=53 v=0
1517 On ch=2 n=71 v=0
1520 On ch=2 n=67 v=92
1536 On ch=1 n=47 v=76
1536 On ch=2 n=67 v=0
1538 On ch=2 n=74 v=116
1584 On ch=1 n=62 v=80
1584 On ch=1 n=53 v=72
1584 On ch=1 n=55 v=76
1584 On ch=1 n=59 v=79
1584 On ch=1 n=47 v=0
1587 On ch=2 n=74 v=0
1608 On ch=1 n=62 v=0
1608 On ch=1 n=53 v=0
1608 On ch=1 n=55 v=0
1608 On ch=1 n=59 v=0
1613 On ch=2 n=74 v=104
1622 On ch=2 n=74 v=0
1630 On ch=2 n=74 v=100
1632 On ch=1 n=43 v=68
1647 On ch=2 n=74 v=0
1679 On ch=2 n=74 v=106
1680 On ch=1 n=62 v=80
1680 On ch=1 n=55 v=72
1680 On ch=1 n=53 v=69
1680 On ch=1 n=59 v=72
1680 On ch=1 n=43 v=0
1697 On ch=2 n=74 v=0
1704 On ch=1 n=62 v=0
1704 On ch=1 n=55 v=0
1704 On ch=1 n=53 v=0
1704 On ch=1 n=59 v=0
1728 On ch=1 n=38 v=80
1729 On ch=2 n=74 v=104
1776 On ch=1 n=62 v=76
1776 On ch=1 n=55 v=72
1776 On ch=1 n=59 v=77
1776 On ch=1 n=53 v=64
1776 On ch=1 n=38 v=0
1778 On ch=2 n=73 v=96
1780 On ch=2 n=74 v=0
1800 On ch=1 n=62 v=0
1800 On ch=1 n=55 v=0
1800 On ch=1 n=59 v=0
1800 On ch=1 n=53 v=0
1805 On ch=2 n=73 v=0
1806 On ch=2 n=74 v=104
1824 On ch=1 n=43 v=72
1827 On ch=2 n=75 v=92
1829 On ch=2 n=74 v=0
1852 On ch=2 n=75 v=0
1854 On ch=2 n=83 v=104
1872 On ch=1 n=62 v=80
1872 On ch=1 n=53 v=70
1872 On ch=1 n=55 v=79
1872 On ch=1 n=59 v=80
1872 On ch=1 n=43 v=0
1886 On ch=2 n=82 v=92
1888 On ch=2 n=83 v=0
1896 On ch=1 n=62 v=0
1896 On ch=1 n=53 v=0
1896 On ch=1 n=55 v=0
1896 On ch=1 n=59 v=0
1901 On ch=2 n=81 v=88
1901 On ch=2 n=82 v=0
1914 On ch=2 n=80 v=91
1918 On ch=2 n=81 v=0
1920 On ch=1 n=36 v=71
1929 On ch=2 n=79 v=100
1930 On ch=2 n=80 v=0
1968 On ch=1 n=60 v=76
1968 On ch=1 n=55 v=80
1968 On ch=1 n=64 v=84
1968 On ch=1 n=36 v=0
1992 On ch=1 n=60 v=0
1992 On ch=1 n=55 v=0
1992 On ch=1 n=64 v=0
2015 On ch=2 n=79 v=0
2016 On ch=1 n=43 v=76
2047 On ch=2 n=72 v=100
2060 On ch=2 n=76 v=102
2061 On ch=2 n=72 v=0
2064 On ch=1 n=60 v=76
2064 On ch=1 n=55 v=64
2064 On ch=1 n=64 v=80
2064 On ch=1 n=43 v=0
2072 On ch=2 n=76 v=0
2076 On ch=2 n=71 v=100
2087 On ch=2 n=75 v=91
2088 On ch=1 n=60 v=0
2088 On ch=1 n=55 v=0
2088 On ch=1 n=64 v=0
2091 On ch=2 n=71 v=0
2102 On ch=2 n=75 v=0
2105 On ch=2 n=74 v=92
2108 On ch=2 n=70 v=100
2112 On ch=1 n=36 v=77
2160 On ch=1 n=60 v=88
2160 On ch=1 n=55 v=90
2160 On ch=1 n=64 v=88
2160 On ch=1 n=36 v=0
2181 On ch=2 n=70 v=0
2184 On ch=1 n=60 v=0
2184 On ch=1 n=55 v=0
2184 On ch=1 n=64 v=0
2192 On ch=2 n=74 v=0
2208 On ch=1 n=38 v=68
2232 On ch=1 n=38 v=0
2256 On ch=1 n=40 v=79
2256 On ch=1 n=60 v=88
2256 On ch=1 n=55 v=80
2256 On ch=1 n=64 v=90
2266 On ch=2 n=75 v=116
2280 On ch=1 n=40 v=0
2280 On ch=1 n=60 v=0
2280 On ch=1 n=55 v=0
2280 On ch=1 n=64 v=0
2280 On ch=2 n=75 v=0
2289 On ch=2 n=76 v=106
2304 On ch=1 n=41 v=76
2304 On ch=2 n=76 v=0
2306 On ch=2 n=77 v=116
2352 On ch=1 n=57 v=80
2352 On ch=1 n=60 v=72
2352 On ch=1 n=65 v=77
2352 On ch=1 n=41 v=0
2355 On ch=2 n=77 v=0
2376 On ch=1 n=57 v=0
2376 On ch=1 n=60 v=0
2376 On ch=1 n=65 v=0
2378 On ch=2 n=76 v=100
2392 On ch=2 n=76 v=0
2398 On ch=2 n=77 v=104
2400 On ch=1 n=36 v=76
2436 On ch=2 n=77 v=0
2448 On ch=1 n=57 v=79
2448 On ch=1 n=60 v=72
2448 On ch=1 n=65 v=78
2448 On ch=1 n=36 v=0
2472 On ch=2 n=79 v=92
2472 On ch=1 n=57 v=0
2472 On ch=1 n=60 v=0
2472 On ch=1 n=65 v=0
2489 On ch=2 n=79 v=0
2493 On ch=2 n=77 v=91
2496 On ch=1 n=41 v=80
2544 On ch=1 n=57 v=76
2544 On ch=1 n=60 v=78
2544 On ch=1 n=65 v=76
2544 On ch=1 n=41 v=0
2568 On ch=1 n=57 v=0
2568 On ch=1 n=60 v=0
2568 On ch=1 n=65 v=0
2574 On ch=2 n=77 v=0
2592 On ch=1 n=36 v=71
2640 On ch=1 n=57 v=72
2640 On ch=1 n=60 v=80
2640 On ch=1 n=65 v=84
2640 On ch=1 n=36 v=0
2643 On ch=2 n=79 v=104
2661 On ch=2 n=79 v=0
2664 On ch=1 n=57 v=0
2664 On ch=1 n=60 v=0
2664 On ch=1 n=65 v=0
2669 On ch=2 n=77 v=92
2685 On ch=2 n=77 v=0
2688 On ch=1 n=48 v=76
2689 On ch=2 n=76 v=92
2736 On ch=1 n=55 v=76
2736 On ch=1 n=60 v=84
2736 On ch=1 n=64 v=84
2736 On ch=1 n=48 v=0
2743 On ch=2 n=76 v=0
2760 On ch=1 n=55 v=0
2760 On ch=1 n=60 v=0
2760 On ch=1 n=64 v=0
2764 On ch=2 n=75 v=91
2777 On ch=2 n=75 v=0
2784 On ch=2 n=76 v=104
2784 On ch=1 n=43 v=68
2800 On ch=2 n=76 v=0
2811 On ch=2 n=75 v=92
2825 On ch=2 n=75 v=0
2827 On ch=2 n=74 v=100
2832 On ch=1 n=60 v=80
2832 On ch=1 n=55 v=64
2832 On ch=1 n=64 v=80
2832 On ch=1 n=43 v=0
2846 On ch=2 n=74 v=0
2856 On ch=1 n=60 v=0
2856 On ch=1 n=55 v=0
2856 On ch=1 n=64 v=0
2859 On ch=2 n=73 v=84
2872 On ch=2 n=73 v=0
2878 On ch=2 n=72 v=100
2880 On ch=1 n=48 v=80
2928 On ch=1 n=60 v=80
2928 On ch=1 n=55 v=64
2928 On ch=1 n=64 v=72
2928 On ch=1 n=48 v=0
2934 On ch=2 n=72 v=0
2952 On ch=1 n=60 v=0
2952 On ch=1 n=55 v=0
2952 On ch=1 n=64 v=0
2976 On ch=1 n=47 v=72
3000 On ch=1 n=47 v=0
3024 On ch=2 n=71 v=88
3024 On ch=1 n=45 v=72
3024 On ch=1 n=60 v=88
3024 On ch=1 n=55 v=72
3024 On ch=1 n=64 v=72
3040 On ch=2 n=72 v=84
3040 On ch=2 n=71 v=0
3048 On ch=1 n=45 v=0
3048 On ch=1 n=60 v=0
3048 On ch=1 n=55 v=0
3048 On ch=1 n=64 v=0
3052 On ch=2 n=73 v=92
3057 On ch=2 n=72 v=0
3069 On ch=2 n=74 v=104
3072 On ch=1 n=43 v=68
3072 On ch=2 n=73 v=0
3089 On ch=2 n=74 v=0
3120 On ch=1 n=62 v=72
3120 On ch=1 n=53 v=68
3120 On ch=1 n=55 v=71
3120 On ch=1 n=59 v=64
3120 On ch=1 n=43 v=0
3121 On ch=2 n=67 v=71
3138 On ch=2 n=69 v=84
3138 On ch=2 n=67 v=0
3144 On ch=1 n=62 v=0
3144 On ch=1 n=53 v=0
3144 On ch=1 n=55 v=0
3144 On ch=1 n=59 v=0
3146 On ch=2 n=70 v=91
3152 On ch=2 n=69 v=0
3161 On ch=2 n=71 v=106
3167 On ch=2 n=70 v=0
3168 On ch=1 n=38 v=80
3176 On ch=2 n=71 v=0
3214 On ch=2 n=62 v=100
3216 On ch=1 n=62 v=78
3216 On ch=1 n=53 v=68
3216 On ch=1 n=55 v=68
3216 On ch=1 n=59 v=68
3216 On ch=1 n=38 v=0
3227 On ch=2 n=63 v=92
3229 On ch=2 n=62 v=0
3240 On ch=1 n=62 v=0
3240 On ch=1 n=53 v=0
3240 On ch=1 n=55 v=0
3240 On ch=1 n=59 v=0
3244 On ch=2 n=64 v=116
3244 On ch=2 n=63 v=0
3257 On ch=2 n=64 v=0
3264 On ch=2 n=65 v=116
3264 On ch=1 n=43 v=72
3290 On ch=2 n=65 v=0
3292 On ch=2 n=69 v=100
3310 On ch=2 n=69 v=0
3312 On ch=2 n=72 v=100
3312 On ch=1 n=62 v=79
3312 On ch=1 n=55 v=80
3312 On ch=1 n=53 v=77
3312 On ch=1 n=59 v=78
3312 On ch=1 n=43 v=0
3336 On ch=1 n=62 v=0
3336 On ch=1 n=55 v=0
3336 On ch=1 n=53 v=0
3336 On ch=1 n=59 v=0
3337 On ch=2 n=72 v=0
3340 On ch=2 n=76 v=106
3356 On ch=2 n=76 v=0
3360 On ch=1 n=38 v=76
3363 On ch=2 n=74 v=116
3385 On ch=2 n=74 v=0
3397 On ch=2 n=79 v=91
3408 On ch=1 n=59 v=59
3408 On ch=1 n=62 v=62
3408 On ch=1 n=53 v=64
3408 On ch=1 n=55 v=64
3408 On ch=1 n=38 v=0
3418 On ch=2 n=83 v=92
3422 On ch=2 n=79 v=0
3432 On ch=1 n=59 v=0
3432 On ch=1 n=62 v=0
3432 On ch=1 n=55 v=0
3439 On ch=2 n=83 v=0
3445 On ch=2 n=86 v=116
3452 On ch=1 n=53 v=0
3456 On ch=1 n=36 v=79
3456 On ch=1 n=60 v=94
3461 On ch=2 n=84 v=92
3461 On ch=2 n=86 v=0
3480 On ch=1 n=60 v=0
3497 On ch=2 n=84 v=0
3504 On ch=1 n=36 v=0
3528 On ch=1 n=45 v=76
3528 On ch=1 n=57 v=88
3552 On ch=1 n=43 v=88
3552 On ch=1 n=55 v=92
3552 On ch=1 n=45 v=0
3572 On ch=1 n=57 v=0
3576 On ch=1 n=43 v=0
3576 On ch=1 n=55 v=0
3600 On ch=1 n=40 v=94
3600 On ch=1 n=52 v=88
3624 On ch=1 n=40 v=0
3624 On ch=1 n=52 v=0
3648 On ch=1 n=36 v=95
3648 On ch=1 n=48 v=104
3672 On ch=1 n=48 v=0
3696 On ch=1 n=36 v=0
3726 On ch=2 n=91 v=83
3733 On ch=2 n=93 v=88
3737 On ch=2 n=91 v=0
3741 On ch=2 n=95 v=92
3745 On ch=2 n=93 v=0
3749 On ch=2 n=96 v=116
3752 On ch=2 n=95 v=0
3761 On ch=2 n=96 v=0
4224 Meta TrkEnd
TrkEnd
