MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 500000
0 Meta TrkEnd
TrkEnd
MTrk
323 On ch=1 n=84 v=80
348 On ch=1 n=84 v=0
360 On ch=1 n=80 v=80
384 On ch=1 n=80 v=0
396 On ch=1 n=77 v=80
420 On ch=1 n=77 v=0
431 On ch=1 n=74 v=80
456 On ch=1 n=74 v=0
468 On ch=1 n=75 v=80
491 On ch=1 n=75 v=0
504 On ch=1 n=68 v=80
528 On ch=1 n=68 v=0
540 On ch=1 n=70 v=80
564 On ch=1 n=70 v=0
576 On ch=1 n=62 v=80
576 On ch=1 n=71 v=80
600 On ch=1 n=71 v=0
612 On ch=1 n=67 v=80
636 On ch=1 n=67 v=0
647 On ch=1 n=62 v=0
647 On ch=1 n=68 v=80
672 On ch=1 n=68 v=0
684 On ch=1 n=61 v=80
684 On ch=1 n=70 v=80
684 On ch=1 n=67 v=80
756 On ch=1 n=61 v=0
756 On ch=1 n=70 v=0
756 On ch=1 n=67 v=0
756 On ch=1 n=75 v=80
780 On ch=1 n=75 v=0
792 On ch=1 n=87 v=80
816 On ch=1 n=87 v=0
827 On ch=1 n=85 v=80
852 On ch=1 n=85 v=0
900 On ch=1 n=84 v=80
924 On ch=1 n=84 v=0
936 On ch=1 n=80 v=80
960 On ch=1 n=80 v=0
972 On ch=1 n=77 v=80
995 On ch=1 n=77 v=0
1008 On ch=1 n=74 v=80
1032 On ch=1 n=74 v=0
1044 On ch=1 n=75 v=80
1067 On ch=1 n=75 v=0
1080 On ch=1 n=68 v=80
1104 On ch=1 n=68 v=0
1115 On ch=1 n=70 v=80
1139 On ch=1 n=70 v=0
1152 On ch=1 n=62 v=80
1152 On ch=1 n=71 v=80
1175 On ch=1 n=71 v=0
1188 On ch=1 n=67 v=80
1212 On ch=1 n=67 v=0
1224 On ch=1 n=62 v=0
1224 On ch=1 n=68 v=80
1247 On ch=1 n=68 v=0
1260 On ch=1 n=61 v=80
1260 On ch=1 n=67 v=80
1260 On ch=1 n=70 v=80
1332 On ch=1 n=61 v=0
1332 On ch=1 n=67 v=0
1332 On ch=1 n=70 v=0
1512 On ch=1 n=73 v=80
1512 On ch=1 n=65 v=80
1512 On ch=1 n=70 v=80
1512 On ch=1 n=67 v=80
1560 On ch=1 n=73 v=0
1560 On ch=1 n=65 v=0
1560 On ch=1 n=70 v=0
1560 On ch=1 n=67 v=0
1584 On ch=1 n=72 v=80
1584 On ch=1 n=64 v=80
1584 On ch=1 n=70 v=80
1584 On ch=1 n=67 v=80
1632 On ch=1 n=72 v=0
1632 On ch=1 n=64 v=0
1632 On ch=1 n=70 v=0
1632 On ch=1 n=67 v=0
1800 On ch=1 n=77 v=80
1800 On ch=1 n=70 v=80
1800 On ch=1 n=67 v=80
1848 On ch=1 n=77 v=0
1848 On ch=1 n=70 v=0
1848 On ch=1 n=67 v=0
1872 On ch=1 n=76 v=80
1872 On ch=1 n=70 v=80
1872 On ch=1 n=67 v=80
1920 On ch=1 n=76 v=0
1920 On ch=1 n=70 v=0
1920 On ch=1 n=67 v=0
2304 On ch=1 n=65 v=80
2328 On ch=1 n=65 v=0
2340 On ch=1 n=67 v=80
2364 On ch=1 n=67 v=0
2376 On ch=1 n=68 v=80
2400 On ch=1 n=68 v=0
2411 On ch=1 n=72 v=80
2435 On ch=1 n=72 v=0
2448 On ch=1 n=77 v=80
2448 On ch=1 n=65 v=80
2471 On ch=1 n=77 v=0
2471 On ch=1 n=65 v=0
2484 On ch=1 n=79 v=80
2484 On ch=1 n=67 v=80
2508 On ch=1 n=79 v=0
2508 On ch=1 n=67 v=0
2520 On ch=1 n=80 v=80
2520 On ch=1 n=68 v=80
2544 On ch=1 n=80 v=0
2544 On ch=1 n=68 v=0
2556 On ch=1 n=84 v=80
2556 On ch=1 n=72 v=80
2580 On ch=1 n=84 v=0
2580 On ch=1 n=72 v=0
2591 On ch=1 n=77 v=80
2591 On ch=1 n=89 v=80
2591 On ch=1 n=62 v=80
2591 On ch=1 n=65 v=80
2591 On ch=1 n=68 v=80
2591 On ch=1 n=71 v=80
2639 On ch=1 n=77 v=0
2639 On ch=1 n=89 v=0
2639 On ch=1 n=62 v=0
2639 On ch=1 n=65 v=0
2639 On ch=1 n=68 v=0
2639 On ch=1 n=71 v=0
2664 On ch=1 n=79 v=80
2664 On ch=1 n=91 v=80
2664 On ch=1 n=62 v=80
2664 On ch=1 n=65 v=80
2664 On ch=1 n=68 v=80
2664 On ch=1 n=71 v=80
2688 On ch=1 n=79 v=0
